Occupation ,Gaps
"Healthcare Practitioners and Technical Occupations ($77,100)",-38
"Management Occupations ($111,000)",-18
"Community and Social Service Occupations ($45,600)",-14
"Business and Financial Operations Occupations ($74,100)",-14
"Computer and Mathematical Occupations ($88,500)",-9
"Educational Instruction and Library Occupations ($47,900)",-3
"Healthcare Support Occupations ($25,300)",-1
"Legal Occupations ($103,700)",-1
"Installation, Maintenance, and Repair Occupations ($51,000)",6
"Protective Service Occupations ($46,100)",7
"Construction and Extraction Occupations ($44,100)",17
"Building and Grounds Cleaning and Maintenance Occupations ($27,300)",18
"Personal Care and Service Occupations ($28,700)",27
"Production Occupations ($41,700)",46
"Office and Administrative Support Occupations ($38,600)",47
"Transportation and Material Moving Occupations ($34,300)",64
"Sales and Related Occupations ($36,300)",94
"Food Preparation and Serving Related Occupations ($23,300)",123
