ID Group,Group,ID Industry,Industry,ID Year,Year,ID State,State,Workforce by Industry and Gender,Workforce by Industry and Gender Moe,Geography,ID Geography,Slug Geography
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",0,"Agriculture, Forestry, Fishing & Hunting",2018,"2018","04000US51","Virginia",0,31.11269837220809,"Hopewell, VA","16000US5138424","hopewell-va"
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",1,"Mining, Quarrying, & Oil & Gas Extraction",2018,"2018","04000US51","Virginia",12,29.732137494637012,"Hopewell, VA","16000US5138424","hopewell-va"
1,"Construction (Group)",2,"Construction",2018,"2018","04000US51","Virginia",675,196.21671692289624,"Hopewell, VA","16000US5138424","hopewell-va"
2,"Manufacturing (Group)",3,"Manufacturing",2018,"2018","04000US51","Virginia",1219,257.3888109456198,"Hopewell, VA","16000US5138424","hopewell-va"
3,"Wholesale Trade (Group)",4,"Wholesale Trade",2018,"2018","04000US51","Virginia",279,109.41663493271943,"Hopewell, VA","16000US5138424","hopewell-va"
4,"Retail Trade (Group)",5,"Retail Trade",2018,"2018","04000US51","Virginia",1274,296.6647940015802,"Hopewell, VA","16000US5138424","hopewell-va"
5,"Transportation & Warehousing, & Utilities",6,"Transportation & Warehousing",2018,"2018","04000US51","Virginia",427,156.77372228788852,"Hopewell, VA","16000US5138424","hopewell-va"
5,"Transportation & Warehousing, & Utilities",7,"Utilities",2018,"2018","04000US51","Virginia",40,49.193495504995376,"Hopewell, VA","16000US5138424","hopewell-va"
6,"Information (Group)",8,"Information",2018,"2018","04000US51","Virginia",116,85.38149682454625,"Hopewell, VA","16000US5138424","hopewell-va"
7,"Finance & Insurance, & Real Estate & Rental & Leasing",9,"Finance & Insurance",2018,"2018","04000US51","Virginia",365,158.4960567332828,"Hopewell, VA","16000US5138424","hopewell-va"
7,"Finance & Insurance, & Real Estate & Rental & Leasing",10,"Real Estate & Rental & Leasing",2018,"2018","04000US51","Virginia",119,89.89994438263018,"Hopewell, VA","16000US5138424","hopewell-va"
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",11,"Professional, Scientific, & Technical Services",2018,"2018","04000US51","Virginia",389,164.47796204963146,"Hopewell, VA","16000US5138424","hopewell-va"
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",12,"Management of Companies & Enterprises",2018,"2018","04000US51","Virginia",0,31.11269837220809,"Hopewell, VA","16000US5138424","hopewell-va"
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",13,"Administrative & Support & Waste Management Services",2018,"2018","04000US51","Virginia",451,162.75441622272496,"Hopewell, VA","16000US5138424","hopewell-va"
9,"Educational Services, & Health Care & Social Assistance",14,"Educational Services",2018,"2018","04000US51","Virginia",587,184.20097719610501,"Hopewell, VA","16000US5138424","hopewell-va"
9,"Educational Services, & Health Care & Social Assistance",15,"Health Care & Social Assistance",2018,"2018","04000US51","Virginia",1002,221.35265979879256,"Hopewell, VA","16000US5138424","hopewell-va"
10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",16,"Arts, Entertainment, & Recreation",2018,"2018","04000US51","Virginia",127,72.42237223399962,"Hopewell, VA","16000US5138424","hopewell-va"
10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",17,"Accommodation & Food Services",2018,"2018","04000US51","Virginia",921,239.8207664069148,"Hopewell, VA","16000US5138424","hopewell-va"
