Series_ID,Region_Name,Region_Code,2021_April
SCABBE1URN,"Abbeville County, SC",45001,5
LAACAD0URN,"Acadia Parish, LA",22001,5.7
VAACCO1URN,"Accomack County, VA",51001,4.4
IDADAC1URN,"Ada County, ID",16001,3
MOADURN,"Adair County, MO",29001,3.7
OKADAI1URN,"Adair County, OK",40001,3.6
IAADAI1URN,"Adair County, IA",19001,2.6
KYADURN,"Adair County, KY",21001,4.1
MSADAM1URN,"Adams County, MS",28001,8.9
NDADAM1URN,"Adams County, ND",38001,3.4
OHADAM1URN,"Adams County, OH",39001,5.8
PAADAM0URN,"Adams County, PA",42001,4.1
COADAM1URN,"Adams County, CO",8001,7.1
IAADAM3URN,"Adams County, IA",19003,2.6
ILADURN,"Adams County, IL",17001,4
NEADAM1URN,"Adams County, NE",31001,2
WAADAM1URN,"Adams County, WA",53001,6.1
WIADAM1URN,"Adams County, WI",55001,6.9
IDADAM3URN,"Adams County, ID",16003,8.1
INADAM1URN,"Adams County, IN",18001,2.1
VTADDI1URN,"Addison County, VT",50001,2.4
SCAIKE0URN,"Aiken County, SC",45003,3.6
MNAITK1URN,"Aitkin County, MN",27001,5.8
FLALAC1URN,"Alachua County, FL",12001,4
NCALAM1URN,"Alamance County, NC",37001,4.3
CAALAM1URN,"Alameda County, CA",6001,6.3
COALAM3URN,"Alamosa County, CO",8003,5.8
NYALBA1URN,"Albany County, NY",36001,5
WYALBA1URN,"Albany County, WY",56001,4
VAALBE7URN,"Albemarle County, VA",51003,3.2
MIALCO1URN,"Alcona County, MI",26001,6.7
MSALURN,"Alcorn County, MS",28003,4.9
AKALEU3URN,"Aleutians East Borough, AK",2013,2.1
AKALEU0URN,"Aleutians West CA, AK",2016,2.4
NCALEX3URN,"Alexander County, NC",37003,4.2
ILALURN,"Alexander County, IL",17003,7.8
VAALEX5URN,"Alexandria City, VA",51510,3.9
OKALFA3URN,"Alfalfa County, OK",40003,2.5
MIALGE3URN,"Alger County, MI",26003,8.3
IAALLA5URN,"Allamakee County, IA",19005,4.2
MIALLE0URN,"Allegan County, MI",26005,4.3
MDALLE0URN,"Allegany County, MD",24001,6.1
NYALLE2URN,"Allegany County, NY",36003,5.5
NCALLE5URN,"Alleghany County, NC",37005,4.3
VAALLE5URN,"Alleghany County, VA",51005,4
PAALLE3URN,"Allegheny County, PA",42003,6
OHALLE0URN,"Allen County, OH",39003,6.5
KYALURN,"Allen County, KY",21003,3.2
INALLE3URN,"Allen County, IN",18003,4.2
LAALLE3URN,"Allen Parish, LA",22003,6.8
KSALLE1URN,"Allen County, KS",20001,3
SCALLE5URN,"Allendale County, SC",45005,8.6
MIALPE7URN,"Alpena County, MI",26007,5.3
CAALPI3URN,"Alpine County, CA",6003,8
CAAMAD5URN,"Amador County, CA",6005,7
VAAMEL7URN,"Amelia County, VA",51007,3.5
VAAMHE9URN,"Amherst County, VA",51009,3.6
MSAMIT5URN,"Amite County, MS",28005,7.5
AKANCH0URN,"Anchorage Muny, AK",2020,7
TNANDE5URN,"Anderson County, TN",47001,4
KYANURN,"Anderson County, KY",21005,3.3
TXANDE1URN,"Anderson County, TX",48001,5.4
SCANDE7URN,"Anderson County, SC",45007,4.1
KSANDE3URN,"Anderson County, KS",20003,2.5
MOANDR3URN,"Andrew County, MO",29003,2.4
TXANDR3URN,"Andrews County, TX",48003,6.7
MEANDR0URN,"Androscoggin County, ME",23001,5.3
TXANGE5URN,"Angelina County, TX",48005,7.2
MDANNE5URN,"Anne Arundel County, MD",24003,4.7
MNANOK5URN,"Anoka County, MN",27003,4.1
NCANSO7URN,"Anson County, NC",37007,5.4
NEANTE3URN,"Antelope County, NE",31003,1.5
MIANTR9URN,"Antrim County, MI",26009,6.7
AZAPAC0URN,"Apache County, AZ",4001,11.1
IAAPPA7URN,"Appanoose County, IA",19007,3.7
GAAPPL1URN,"Appling County, GA",13001,3.3
VAAPPO1URN,"Appomattox County, VA",51011,3.9
TXARAN7URN,"Aransas County, TX",48007,7.9
COARAP0URN,"Arapahoe County, CO",8005,6.7
TXARCH9URN,"Archer County, TX",48009,4.3
COARCH7URN,"Archuleta County, CO",8007,5.6
MIAREN1URN,"Arenac County, MI",26011,7.8
ARARURN,"Arkansas County, AR",5001,3.3
VAARLI0URN,"Arlington County, VA",51013,3
PAARMS5URN,"Armstrong County, PA",42005,7.1
TXARMS1URN,"Armstrong County, TX",48011,3.8
MEAROO5URN,"Aroostook County, ME",23003,6.8
NEARTH5URN,"Arthur County, NE",31005,3
LAASCE0URN,"Ascension Parish, LA",22005,4.9
NCASHE9URN,"Ashe County, NC",37009,3.5
WIASHL3URN,"Ashland County, WI",55003,6.3
OHASHL5URN,"Ashland County, OH",39005,3.8
ARASURN,"Ashley County, AR",5003,7.8
OHASHT1URN,"Ashtabula County, OH",39007,5.2
WAASOT3URN,"Asotin County, WA",53003,4.1
LAASSU7URN,"Assumption Parish, LA",22007,8.3
TXATAS3URN,"Atascosa County, TX",48013,6.6
MOATCH5URN,"Atchison County, MO",29005,2.4
KSATCH5URN,"Atchison County, KS",20005,3.8
OHATHE5URN,"Athens County, OH",39009,4.2
GAATKI3URN,"Atkinson County, GA",13003,2.6
NJATLA2URN,"Atlantic County, NJ",34001,11
OKATOK5URN,"Atoka County, OK",40005,6.1
MSATURN,"Attala County, MS",28007,6.4
MOAUURN,"Audrain County, MO",29007,3.2
IAAUDU9URN,"Audubon County, IA",19009,2.8
OHAUGL1URN,"Auglaize County, OH",39011,3.4
VAAUGU0URN,"Augusta County, VA",51015,2.9
SDAURO3URN,"Aurora County, SD",46003,2.3
TXAUST5URN,"Austin County, TX",48015,5.9
ALAUTA1URN,"Autauga County, AL",1001,2.4
NCAVER1URN,"Avery County, NC",37011,3.5
LAAVOY9URN,"Avoyelles Parish, LA",22009,5.8
COBACA9URN,"Baca County, CO",8009,2.6
GABACO5URN,"Bacon County, GA",13005,3.2
TXBAIL7URN,"Bailey County, TX",48017,4.6
GABAKE7URN,"Baker County, GA",13007,4.7
ORBAKE1URN,"Baker County, OR",41001,5.9
FLBAKE3URN,"Baker County, FL",12003,4
GABALD9URN,"Baldwin County, GA",13009,4.5
ALBALD0URN,"Baldwin County, AL",1003,2.5
KYBAURN,"Ballard County, KY",21007,4
MDBALT5URN,"Baltimore City, MD",24510,7.6
MDBALT0URN,"Baltimore County, MD",24005,5.7
SCBAMB9URN,"Bamberg County, SC",45009,8.2
TXBAND9URN,"Bandera County, TX",48019,4.9
GABANK1URN,"Banks County, GA",13011,2.5
NEBANN7URN,"Banner County, NE",31007,1.8
IDBANN5URN,"Bannock County, ID",16005,3.2
MIBARA3URN,"Baraga County, MI",26013,7.4
KSBARB7URN,"Barber County, KS",20007,2.1
ALBARB5URN,"Barbour County, AL",1005,4.8
WVBARB1URN,"Barbour County, WV",54001,5.5
NDBARN3URN,"Barnes County, ND",38003,3.1
MABARN1URN,"Barnstable County, MA",25001,7.2
SCBARN1URN,"Barnwell County, SC",45011,7
KYBRURN,"Barren County, KY",21009,4.4
