Job Titles,Crater Area,Prince George,Hopewell
Cashier,40,13,5
Customer Service Representative,25,7,3
Cook,17,7,3
Sales Associate,16,3,2
Assistant Store Manager,15,5,3
Assistant Manager,14,7,4
Maintenance Technician,14,6,3
Delivery Driver,12,2,2
PT Sales Associate (Cashier) - Food Lion,8,2,1
Customer Service Associate,7,5,3
Food Service Worker,5,5,3
PT Center Store (Grocery) Associate - Food Lion,5,2,1
Plant Operator,3,0,3
Registrar PRN,3,2,3
Cust Experience Associate,0,39,0
Housekeeper,0,30,1
Contract Specialist,0,28,0
