SOC,Occupations,Crater Area,Prince George,Hopewell
41-2031.00,Retail Salespersons,276,80,28
29-1141.00,Registered Nurses,240,92,58
35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers,162,54,29
41-1011.00,First-Line Supervisors of Retail Sales Workers,153,50,24
53-7065.00,Stockers and Order Fillers,151,57,10
35-3023.00,Fast Food and Counter Workers,132,47,21
53-3032.00,Heavy and Tractor-Trailer Truck Drivers,92,33,11
49-9071.00,"Maintenance and Repair Workers, General",83,33,14
37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",81,27,9
15-1232.00,Computer User Support Specialists,79,34,3
21-1093.00,Social and Human Service Assistants,72,29,3
29- 2055.00,Surgical Technologist,13,14,9
