Skill Name,Crater Region,Prince George,Hopewell
Communication (Verbal and written skills),1727,626,207
Cooperative/Team Player,1061,375,131
Customer Service,1004,351,123
Self-Motivated/Ability to Work Independently/Self Leadership,550,212,71
Adaptability/Flexibility/Tolerance of Change and Uncertainty,539,210,83
Organization,515,157,57
Ability to Work in a Fast Paced Environment,400,146,44
Supervision/Management,398,135,50
Detail Oriented/Meticulous,374,156,23
Accountable/Responsible/Reliable/Dependable/Trustworthy,332,129,43
Enthusiastic/Energetic,301,117,51
