Type of Industry,Crater Area,Prince George,Hopewell
"Agriculture, Forestry, Fishing and Hunting",5.9,0,0
"Mining, Quarrying, and Oil and Gas Extraction",2.3,0,0
Utilities,1.8,0,3.4
Construction,10.5,14,12.5
Manufacturing,5.2,6.1,3.7
Wholesale Trade,6.9,5.5,7.7
Retail Trade,11,12.4,11.2
Transportation and Warehousing,9.4,8,0
Information,15,0,0
Finance and Insurance,5.7,6.3,6.2
"Real Estate, Rental, and Leasing",8.5,8.8,6
"Professional, Scientific, and Technical Services",12.9,18.2,8
Managamnet of Companies and Enterprises,13.5,17.3,0
"Administrative and Support, and Waste Management",18.3,17,15.7
Educational Services,4,5.8,4.2
Health Care and Social Assistance,9.9,11.9,10.3
"Arts, Entertainment, and Recreation",13.3,13,0
Accomodation and Food Serives,16.9,13.9,19.6
Other Services (expect Public Admnistration),9.6,5.6,9.3
Public Administration,6.5,5.9,5.1
