Industry,Hopewell,Prince George,Crater Area,,Hopewell County,Prince George County,Crater Area County
Unclassified,120,75,766,,37.15,38.27,39.57
Administrative and Support and Waste Management and Remediation Services,47,28,264,,14.55,14.29,13.64
Health Care and Social Assistance,25,15,164,,7.74,7.65,8.47
Accomodation and Food Services,34,11,162,,10.53,5.61,8.37
Construction,25,16,107,,7.74,8.16,5.53
Retail Trade,16,11,106,,4.95,5.61,5.48
"Professional, Scientific, and Technical Services",16,10,83,,4.95,5.10,4.29
Manufacturing,6,6,61,,1.86,3.06,3.15
Wholesale Trade,8,6,48,,2.48,3.06,2.48
Transportation and Warehousing,4,2,38,,1.24,1.02,1.96
Other Services (expect Public Administration),4,3,33,,1.24,1.53,1.70
Finance and Insurance,4,3,27,,1.24,1.53,1.39
Real Estate and Rental and Leasing,7,3,25,,2.17,1.53,1.29
Educational Services,2,3,21,,0.62,1.53,1.08
Information,4,0,14,,1.24,0.00,0.72
"Arts, Entertainment, and Recreation",0,1,7,,0.00,0.51,0.36
Managemant of Companies and Enterprises,1,3,6,,0.31,1.53,0.31
"Agriculture, Forestry, Fishing and Hunting",0,0,2,,0,0,0
Utilities,0,0,2,,0,0,0
"Mining, Quarrying, and Oil and Gas Extraction",0,0,0,,0,0,0
