ID Gender,Gender,ID Year,Year,ID Employment Time Status,Employment Time Status,ID Detailed Occupation,Detailed Occupation,Average Wage,Average Wage Appx MOE,Total Population,Total Population MOE Appx,Record Count,Geography,ID Geography
1,"Male",2019,"2019",1,"Full-time","1191XX","Other managers",125709.04720478605,8707.421606081825,74717,6637.016771968146,833,"Virginia","04000US51"
1,"Male",2019,"2019",1,"Full-time","252020","Elementary & middle school teachers",53089.337889518414,4589.4806192815195,14120,2911.326764461516,155,"Virginia","04000US51"
1,"Male",2019,"2019",1,"Full-time","412010","Cashiers",31948.264567209324,7052.041266157865,11241,2598.723796346277,74,"Virginia","04000US51"
1,"Male",2019,"2019",1,"Full-time","291141","Registered nurses",66733.43253536453,8119.0051512446125,7352,2102.8522609431984,70,"Virginia","04000US51"
1,"Male",2019,"2019",1,"Full-time","533030","Driver/sales workers & truck drivers",47484.19705346436,2854.902425006122,64211,6162.415120639889,538,"Virginia","04000US51"
2,"Female",2019,"2019",1,"Full-time","1191XX","Other managers",98833.64222257794,7830.9410743181725,49978,5448.257097304993,529,"Virginia","04000US51"
2,"Female",2019,"2019",1,"Full-time","252020","Elementary & middle school teachers",51823.80729059401,1884.930879426293,67978,6337.0300480437045,696,"Virginia","04000US51"
2,"Female",2019,"2019",1,"Full-time","412010","Cashiers",25236.706396181384,3963.82991440683,20950,3542.651032601883,171,"Virginia","04000US51"
2,"Female",2019,"2019",1,"Full-time","291141","Registered nurses",67640.50562795703,3264.0841092897836,58547,5889.330186318568,573,"Virginia","04000US51"
2,"Female",2019,"2019",1,"Full-time","533030","Driver/sales workers & truck drivers",30857.572566051393,6761.363961582165,5526,1823.5932195915748,40,"Virginia","04000US51"
1,"Male",2018,"2018",1,"Full-time","1191XX","Other managers",128128.43203901849,8500.688110166202,79347,6834.283228275354,882,"Virginia","04000US51"
1,"Male",2018,"2018",1,"Full-time","252020","Elementary & middle school teachers",57045.6200861358,3886.682781276115,21826,3615.415008589769,238,"Virginia","04000US51"
1,"Male",2018,"2018",1,"Full-time","412010","Cashiers",24862.76166514181,4763.843974389029,8744,2292.8126881435865,65,"Virginia","04000US51"
1,"Male",2018,"2018",1,"Full-time","291141","Registered nurses",84901.42685214129,29973.026042716498,6398,1961.942822484811,57,"Virginia","04000US51"
1,"Male",2018,"2018",1,"Full-time","533030","Driver/sales workers & truck drivers",45980.38610681228,2667.5438735801845,68494,6360.118871455759,569,"Virginia","04000US51"
2,"Female",2018,"2018",1,"Full-time","1191XX","Other managers",89502.28225051488,7088.573435707593,53410,5629.047753216943,546,"Virginia","04000US51"
2,"Female",2018,"2018",1,"Full-time","252020","Elementary & middle school teachers",52953.43291855203,2359.853360008221,70720,6460.474297899304,863,"Virginia","04000US51"
2,"Female",2018,"2018",1,"Full-time","412010","Cashiers",23776.444901163864,3591.8261954684867,21652,3601.067952415668,170,"Virginia","04000US51"
2,"Female",2018,"2018",1,"Full-time","291141","Registered nurses",63612.16099793755,2815.4011858185813,55274,5724.830749569307,568,"Virginia","04000US51"
2,"Female",2018,"2018",1,"Full-time","533030","Driver/sales workers & truck drivers",33463.71014176663,6454.935653054809,4585,1661.3085845628536,29,"Virginia","04000US51"
1,"Male",2017,"2017",1,"Full-time","252020","Elementary & middle school teachers",55311.28615384615,4956.577434545292,18525,3332.3649812784097,212,"Virginia","04000US51"
1,"Male",2017,"2017",1,"Full-time","412010","Cashiers",25923.94628887617,5242.936420999855,10482,2509.6775079982367,77,"Virginia","04000US51"
1,"Male",2017,"2017",1,"Full-time","291141","Registered nurses",63934.49072134092,8184.337815465981,6682,2004.9126098272372,66,"Virginia","04000US51"
1,"Male",2017,"2017",1,"Full-time","533030","Driver/sales workers & truck drivers",45956.21276122721,3714.146025236827,58474,5884.9314521231345,520,"Virginia","04000US51"
2,"Female",2017,"2017",1,"Full-time","252020","Elementary & middle school teachers",50933.02121169034,1688.4253845036428,77363,6749.629113551211,898,"Virginia","04000US51"
2,"Female",2017,"2017",1,"Full-time","412010","Cashiers",22159.62005945172,1962.5273935133498,27249,4036.274517109629,214,"Virginia","04000US51"
2,"Female",2017,"2017",1,"Full-time","291141","Registered nurses",63198.79039186465,3606.6097506658843,57035,5813.335887319755,569,"Virginia","04000US51"
2,"Female",2017,"2017",1,"Full-time","533030","Driver/sales workers & truck drivers",28128.14493444577,6576.495808580562,4195,1589.1660786699438,32,"Virginia","04000US51"
1,"Male",2016,"2016",1,"Full-time","252020","Elementary & middle school teachers",50906.84132963989,7470.893058954684,18050,3289.4326969637523,201,"Virginia","04000US51"
1,"Male",2016,"2016",1,"Full-time","412010","Cashiers",22543.669105453126,5110.400089681617,10251,2481.884191192752,93,"Virginia","04000US51"
1,"Male",2016,"2016",1,"Full-time","291141","Registered nurses",77745.5870216893,9991.89821530442,5671,1847.271241545108,50,"Virginia","04000US51"
1,"Male",2016,"2016",1,"Full-time","533030","Driver/sales workers & truck drivers",43299.5560787798,2933.8522734831254,67530,6314.343769896583,543,"Virginia","04000US51"
2,"Female",2016,"2016",1,"Full-time","252020","Elementary & middle school teachers",49844.981375682684,2333.576541045123,79466,6837.010962485379,877,"Virginia","04000US51"
2,"Female",2016,"2016",1,"Full-time","412010","Cashiers",22066.9469050574,2355.7878780769393,25784,3926.852971610539,192,"Virginia","04000US51"
2,"Female",2016,"2016",1,"Full-time","291141","Registered nurses",64541.52924381673,2934.4987876213686,59192,5919.314391124266,558,"Virginia","04000US51"
2,"Female",2016,"2016",1,"Full-time","533030","Driver/sales workers & truck drivers",31522.303498985802,8072.065692708422,3944,1540.9311526868648,26,"Virginia","04000US51"
1,"Male",2015,"2015",1,"Full-time","252020","Elementary & middle school teachers",52829.48459473967,3281.007430620892,18630,3341.451491449033,190,"Virginia","04000US51"
1,"Male",2015,"2015",1,"Full-time","412010","Cashiers",26823.453060771026,7690.533838276532,9001,2326.0498646281994,72,"Virginia","04000US51"
1,"Male",2015,"2015",1,"Full-time","291141","Registered nurses",60232.619154832006,8556.010401380574,5774,1863.921987844301,52,"Virginia","04000US51"
